Ticker,P_up,Return,CAGR,Sharpe,Max_Drawdown,Win_Rate,Trades,Winning_Trades
BA,0.517136812210083,9.87,12.93,4.29,2.44,57.3,89,51
DB,0.5190940499305725,6.8,8.87,2.93,3.2,50.0,100,50
