Ticker,Sentiment,Articles,Price,Change%,RSI,Oversold,Overbought,MACD,Signal,MACD_Bullish,Above_SMA50,Avg_Volume,alpha_score,P_up,Best_Threshold,F1_Score,AUC,Data_Source
BA,1.0,1,182.0,1.38,82.06,No,Yes,3.4861,0.0197,Yes,Yes,8792622,0.8,0.517136812210083,0.5,0,0.4853582554517134,Historic
DB,0.67,2,26.78,35.66,89.24,No,Yes,0.8084,0.4093,Yes,Yes,4239758,0.668,0.5190940499305725,0.5,0,0.489464812473662,Historic
